name,birthArea,birthDate,foot,role,height,passportArea,weight,fouls,goals,own_goals,percent_pass_accuracy,percent_shots_on_target
James  Morrison,England,1986-05-25,right,MD,180,Scotland,75,0,0,0,0,0
Stephen  Ireland,Ireland Republic,1986-08-22,right,MD,173,Ireland Republic,66,0,0,0,0,0
James Milner,England,1986-01-04,right,MD,176,England,70,0,0,0,0,0
Tom Heaton,England,1986-04-15,right,GK,188,England,86,0,0,0,0,0
Darren  Fletcher,Scotland,1984-02-01,right,MD,184,Scotland,74,0,0,0,0,0
Wayne Routledge,England,1985-01-07,right,MD,170,Jamaica,77,0,0,0,0,0
Jermain  Defoe,England,1982-10-07,right,FW,171,St. Lucia,65,0,0,0,0,0
Pablo Javier Zabaleta Girod,Argentina,1985-01-16,right,DF,174,Spain,74,0,0,0,0,0
Claudio Andr\u00e9s Bravo Mu\u00f1oz,Chile,1983-04-13,right,GK,184,Spain,80,0,0,0,0,0
Alexis Alejandro S\u00e1nchez S\u00e1nchez,Chile,1988-12-19,right,FW,169,Chile,62,0,0,0,0,0
Gn\u00e9gn\u00e9ri Yaya Tour\u00e9,C\u00f4te d'Ivoire,1983-05-13,right,MD,189,England,90,0,0,0,0,0
Phil Bardsley,England,1985-06-28,right,DF,180,Scotland,74,0,0,0,0,0
Daniel Sturridge,England,1989-09-01,left,FW,180,Jamaica,76,0,0,0,0,0
Tim Krul,Netherlands,1988-04-03,left,GK,188,Netherlands,84,0,0,0,0,0
Fraser Forster,England,1988-03-17,right,GK,201,England,93,0,0,0,0,0
Andy Carroll,England,1989-01-06,left,FW,193,England,79,0,0,0,0,0
Mark Noble,England,1987-05-08,right,MD,180,Ireland Republic,70,0,0,0,0,0
Eldin Jakupovic,Bosnia-Herzegovina,1984-10-02,right,GK,191,Switzerland,85,0,0,0,0,0
S\u00e9amus Coleman,Ireland Republic,1988-10-11,right,DF,177,Ireland Republic,77,0,0,0,0,0
Georginio Wijnaldum,Netherlands,1990-11-11,right,MD,175,Suriname,74,0,0,0,0,0
Christian Fuchs,Austria,1986-04-07,left,DF,187,Austria,89,0,0,0,0,0
Winston  Reid,New Zealand,1988-07-03,right,DF,190,Denmark,87,0,0,0,0,0
Anders Lindegaard,Denmark,1984-04-13,right,GK,193,Denmark,79,0,0,0,0,0
Jamie Murphy,Scotland,1989-08-28,right,MD,175,Scotland,64,0,0,0,0,0
Steven Defour,Belgium,1988-04-15,right,MD,175,Belgium,72,0,0,0,0,0
Moussa Sissoko,France,1989-08-16,right,MD,187,France,91,0,0,0,0,0
Ga\u00ebtan Bong Songo,Cameroon,1988-04-25,left,DF,187,France,74,0,0,0,0,0
Claudio Ariel Yacob,Argentina,1987-07-18,right,MD,181,Spain,73,0,0,0,0,0
Andrew Surman,South Africa,1986-08-20,left,MD,178,England,73,0,0,0,0,0
Nathan Dyer,England,1987-11-29,right,MD,167,Jamaica,62,0,0,0,0,0
Adam Lallana,England,1988-05-10,right,MD,172,England,73,0,0,0,0,0
Lee Grant,England,1983-01-27,right,GK,193,England,83,0,0,0,0,0
Dan Gosling,England,1990-02-02,right,MD,183,England,79,0,0,0,0,0
Jonathan  Walters,England,1983-09-20,right,FW,183,Ireland Republic,79,0,0,0,0,0
Glyn Oliver Myhill,United States,1982-11-09,right,GK,191,Wales,92,0,0,0,0,0
Damien Delaney,Ireland Republic,1981-07-20,left,DF,191,Ireland Republic,89,0,0,0,0,0
Dean Marney,England,1984-01-31,right,MD,183,England,72,0,0,0,0,0
Juli\u00e1n Speroni,Argentina,1979-05-18,right,GK,186,Italy,87,0,0,0,0,0
Ben Watson,England,1985-07-09,right,MD,178,England,69,0,0,0,0,0
Jay Rodriguez,England,1989-07-29,right,FW,185,Spain,80,0,0,0,0,0
Adam Legzdins,England,1986-11-28,right,GK,183,Latvia,78,0,0,0,0,0
Martin Cranie,England,1986-09-26,right,DF,183,Scotland,78,0,0,0,0,0
Jean-Eric Maxim Choupo-Moting,Germany,1989-03-23,both,FW,191,Cameroon,91,0,0,0,0,0
Ryan Shawcross,England,1987-10-04,right,DF,191,Wales,76,0,0,0,0,0
David Luiz Moreira Marinho,Brazil,1987-04-22,right,DF,189,Portugal,84,0,0,0,0,0
Eduardo dos Reis Carvalho,Portugal,1982-09-19,right,GK,187,Portugal,88,0,0,0,0,0
Erwin Mulder,Netherlands,1989-03-03,right,GK,193,Netherlands,88,0,0,0,0,0
Bruno Saltor Grau,Spain,1980-10-01,right,DF,181,Spain,75,0,0,0,0,0
Juan Manuel Mata Garc\u00eda,Spain,1988-04-28,left,MD,170,Spain,63,0,0,0,0,0
Scott Arfield,Scotland,1988-11-01,right,MD,178,Canada,70,0,0,0,0,0
Danny Simpson,England,1987-01-04,right,DF,176,Jamaica,80,0,0,0,0,0
Andr\u00e9 Ayew Pel\u00e9,France,1989-12-17,left,FW,176,Ghana,72,0,0,0,0,0
Jack Cork,England,1989-06-25,right,MD,185,England,69,0,0,0,0,0
Ryan Bertrand,England,1989-08-05,left,DF,179,England,85,0,0,0,0,0
Vicente Iborra De La Fuente,Spain,1988-01-16,right,MD,190,Spain,91,0,0,0,0,0
Kyle Naughton,England,1988-11-11,right,DF,180,Ireland Republic,73,0,0,0,0,0
James Tomkins,England,1989-03-29,right,DF,192,England,74,0,0,0,0,0
Jordon Mutch,England,1991-12-02,right,MD,188,England,81,0,0,0,0,0
Leroy Fer,Netherlands,1990-01-05,right,MD,188,Cura\u00e7ao,79,0,0,0,0,0
Scott Dann,England,1987-02-14,right,DF,195,England,78,0,0,0,0,0
Kieran  Gibbs,England,1989-09-26,left,DF,181,England,70,0,0,0,0,0
Chung-Yong Lee,Korea Republic,1988-07-02,right,MD,180,Korea Republic,69,0,0,0,0,0
Geoff Cameron,United States,1985-07-11,right,DF,191,United States,84,0,0,0,0,0
Asmir Begovi\u0107,Bosnia-Herzegovina,1987-06-20,right,GK,199,Canada,101,0,0,0,0,0
Morgan Schneiderlin,France,1989-11-08,right,MD,185,France,75,0,0,0,0,0
Markus Suttner,Austria,1987-04-16,left,DF,179,Austria,73,0,0,0,0,0
Ashley Barnes,England,1989-10-30,right,FW,186,England,76,0,0,0,0,0
Bakary Sako,France,1988-04-26,left,MD,184,Mali,90,0,0,0,0,0
Pierre-Emerick Aubameyang,France,1989-06-18,right,FW,187,Gabon,80,0,0,0,0,0
Laurent Koscielny,France,1985-09-10,right,DF,186,Poland,75,0,0,0,0,0
Etienne Capoue,France,1988-07-11,right,MD,190,Guadeloupe,87,0,0,0,0,0
Rajiv van La Parra,Netherlands,1991-06-04,right,MD,181,Suriname,72,0,0,0,0,0
Henrikh Mkhitaryan,Armenia,1989-01-21,right,MD,177,Armenia,75,0,0,0,0,0
J\u00e9r\u00e9my Pied,France,1989-02-23,right,DF,173,France,69,0,0,0,0,0
Allan-Romeo Nyom,France,1988-05-10,right,DF,189,Cameroon,80,0,0,0,0,0
Jason Puncheon,England,1986-06-26,left,MD,173,Jamaica,71,0,0,0,0,0
Hal Robson-Kanu,England,1989-05-21,left,FW,183,Wales,83,0,0,0,0,0
James McArthur,Scotland,1987-10-07,right,MD,178,Scotland,64,0,0,0,0,0
James McCarthy,Scotland,1990-11-12,right,MD,180,Ireland Republic,72,0,0,0,0,0
Wes Morgan,England,1984-01-21,right,DF,186,Jamaica,101,0,0,0,0,0
\u00c0ngel Rangel Zaragoza,Spain,1982-10-28,right,DF,180,Spain,82,0,0,0,0,0
Niki M\u00e4enp\u00e4\u00e4,Finland,1985-01-23,right,GK,190,Finland,85,0,0,0,0,0
Ben Hamer,England,1987-11-20,right,GK,193,England,78,0,0,0,0,0
Marc Pugh,England,1987-04-02,right,MD,180,England,72,0,0,0,0,0
Matt Phillips,England,1991-03-13,right,MD,185,Scotland,75,0,0,0,0,0
Glenn Murray,England,1983-09-25,right,FW,185,England,84,0,0,0,0,0
Jake Livermore,England,1989-11-14,right,MD,181,England,76,0,0,0,0,0
Sam Baldock,England,1989-03-15,right,FW,170,England,67,0,0,0,0,0
Dale Stephens,England,1989-12-12,right,MD,185,England,71,0,0,0,0,0
Simon Francis,England,1985-02-16,right,DF,191,England,90,0,0,0,0,0
Aaron Cresswell,England,1989-12-15,left,DF,170,England,66,0,0,0,0,0
Troy Deeney,England,1988-06-29,right,FW,183,Jamaica,90,0,0,0,0,0
Jonjo Shelvey,England,1992-02-27,right,MD,184,England,83,0,0,0,0,0
Christian Benteke Liolo,Congo DR,1990-12-03,right,FW,190,Belgium,83,0,0,0,0,0
Victor Wanyama,Kenya,1991-06-25,right,MD,184,Kenya,87,0,0,0,0,0
Matty James,England,1991-07-22,right,MD,181,England,86,0,0,0,0,0
Chris L\u00f6we,Germany,1989-04-16,left,DF,173,Germany,63,0,0,0,0,0
Daniel Williams,Germany,1989-03-08,right,MD,182,United States,76,0,0,0,0,0
Tomer Hemed,Israel,1987-05-02,right,FW,186,Poland,80,0,0,0,0,0
Rhu-endly Martina,Netherlands,1989-09-25,right,DF,185,Cura\u00e7ao,77,0,0,0,0,0
Mohamed Diam\u00e9,France,1987-06-14,right,MD,185,Senegal,80,0,0,0,0,0
Jos\u00e9 Salom\u00f3n Rond\u00f3n Gim\u00e9nez,Venezuela,1989-09-16,right,FW,186,Venezuela,85,0,0,0,0,0
Jos\u00e9 Leonardo Ulloa,Argentina,1986-07-26,right,FW,185,Argentina,89,0,0,0,0,0
Francisco Femen\u00eda Far,Spain,1991-02-02,right,DF,174,Spain,61,0,0,0,0,0
Daryl Janmaat,Netherlands,1989-07-22,right,DF,185,Netherlands,80,0,0,0,0,0
Wilfried Guemiand Bony,C\u00f4te d'Ivoire,1988-12-10,right,FW,182,C\u00f4te d'Ivoire,90,0,0,0,0,0
Adri\u00e1n San Miguel del Castillo,Spain,1987-01-03,right,GK,190,Spain,80,0,0,0,0,0
Charlie Daniels,England,1986-09-07,left,DF,178,England,75,0,0,0,0,0
Beram Kayal,Israel,1988-05-02,right,MD,178,Israel,74,0,0,0,0,0
Jack Wilshere,England,1992-01-01,left,MD,172,England,68,0,0,0,0,0
Martin Kelly,England,1990-04-27,right,DF,191,England,77,0,0,0,0,0
Pedro Eliezer Rodr\u00edguez Ledesma,Spain,1987-07-28,right,FW,167,Spain,62,0,0,0,0,0
Federico Fern\u00e1ndez,Argentina,1989-02-21,right,DF,190,Italy,83,0,0,0,0,0
Matt Ritchie,England,1989-09-10,left,MD,173,Scotland,71,0,0,0,0,0
Joel Ward,England,1989-10-29,right,DF,188,England,83,0,0,0,0,0
Nathaniel Clyne,England,1991-04-05,right,DF,175,Grenada,67,0,0,0,0,0
Luciano Narsingh,Netherlands,1990-09-13,right,MD,175,Suriname,75,0,0,0,0,0
Ashley Westwood,England,1990-04-01,right,MD,170,England,67,0,0,0,0,0
Eliaquim Mangala,France,1991-02-13,left,DF,188,Belgium,84,0,0,0,0,0
Marvin  Zeegelaar,Netherlands,1990-08-12,left,DF,186,Suriname,81,0,0,0,0,0
Junior Stanislas,England,1989-11-26,right,MD,183,St. Lucia,76,0,0,0,0,0
Daley Blind,Netherlands,1990-03-09,left,DF,180,Netherlands,72,0,0,0,0,0
Faustino Marcos Alberto Rojo,Argentina,1990-03-20,left,DF,187,Argentina,80,0,0,0,0,0
Tom Cleverley,England,1989-08-12,right,MD,175,England,67,0,0,0,0,0
Yannick Bolasie Yala,France,1989-05-24,right,MD,185,England,84,0,0,0,0,0
Ander Herrera Ag\u00fcera,Spain,1989-08-14,right,MD,182,Spain,73,0,0,0,0,0
Michail Antonio,England,1990-03-28,right,FW,180,Jamaica,82,0,0,0,0,0
Marc Albrighton,England,1989-11-18,right,MD,175,England,74,0,0,0,0,0
Andros Townsend,England,1991-07-16,left,MD,181,England,77,0,0,0,0,0
Chris Wood,New Zealand,1991-12-07,right,FW,191,New Zealand,95,0,0,0,0,0
Scott Malone,England,1991-03-25,left,DF,189,England,75,0,0,0,0,0
Pascal Gro\u00df,Germany,1991-06-15,right,MD,181,Germany,78,0,0,0,0,0
Jos\u00e9 Luis Sanmart\u00edn Mato,Germany,1990-03-27,right,FW,192,Spain,80,0,0,0,0,0
Chris Smalling,England,1989-11-22,right,DF,193,England,81,0,0,0,0,0
Erik Lamela,Argentina,1992-03-04,left,MD,181,Argentina,80,0,0,0,0,0
Andre Gray,England,1991-06-26,right,FW,180,Jamaica,78,0,0,0,0,0
Matthew Lowton,England,1989-06-09,right,DF,180,England,78,0,0,0,0,0
Davy Pr\u00f6pper,Netherlands,1991-09-02,right,MD,185,Netherlands,72,0,0,0,0,0
Alexandre Lacazette,France,1991-05-28,right,FW,175,Guadeloupe,73,0,0,0,0,0
Patrick  van Aanholt,Netherlands,1990-08-29,left,DF,175,Cura\u00e7ao,67,0,0,0,0,0
Adam Smith,England,1991-04-29,right,DF,180,England,78,0,0,0,0,0
Craig Dawson,England,1990-05-06,right,DF,189,England,85,0,0,0,0,0
Callum Wilson,England,1992-02-27,right,FW,180,Ireland Republic,66,0,0,0,0,0
Jonathan Hogg,England,1988-12-06,right,MD,177,England,73,0,0,0,0,0
Islam Slimani,Algeria,1988-06-18,right,FW,188,Algeria,83,0,0,0,0,0
Danny Drinkwater,England,1990-03-05,right,MD,177,England,70,0,0,0,0,0
Laurent Depoitre,Belgium,1988-12-07,right,FW,191,Belgium,90,0,0,0,0,0
Joshua King,Norway,1992-01-15,right,FW,180,Gambia,74,0,0,0,0,0
Sam Clucas,England,1990-09-25,left,MD,178,England,75,0,0,0,0,0
Grzegorz Krychowiak,Poland,1990-01-29,right,MD,187,Poland,84,0,0,0,0,0
Jordan Ayew,France,1991-09-11,right,FW,182,Ghana,81,0,0,0,0,0
Joel Robles Bl\u00e1zquez,Spain,1990-06-17,right,GK,195,Spain,90,0,0,0,0,0
Pape  N'Diaye Souar\u00e9,Senegal,1990-06-06,left,DF,178,Senegal,68,0,0,0,0,0
Luke Garbutt,England,1993-05-21,left,DF,178,England,73,0,0,0,0,0
Shkodran Mustafi,Germany,1992-04-17,right,DF,184,Albania,82,0,0,0,0,0
Oriol Romeu Vidal,Spain,1991-09-24,right,MD,183,Spain,83,0,0,0,0,0
Ben Mee,England,1989-09-21,left,DF,180,England,74,0,0,0,0,0
Charlie Austin,England,1989-07-05,right,FW,188,England,84,0,0,0,0,0
Jo\u00ebl Andre Job Matip,Germany,1991-08-08,right,DF,195,Cameroon,90,0,0,0,0,0
Bruno Martins Indi,Portugal,1992-02-08,left,DF,185,Netherlands,80,0,0,0,0,0
Christopher Schindler,Germany,1990-04-29,right,DF,189,Germany,82,0,0,0,0,0
Kyle Bartley,England,1991-05-22,right,DF,194,Jamaica,94,0,0,0,0,0
Florian Lejeune,France,1991-05-20,right,DF,190,France,81,0,0,0,0,0
Karl Darlow,England,1990-10-08,right,GK,185,Wales,79,0,0,0,0,0
Jos\u00e9 Heriberto Izquierdo Mena,Colombia,1992-07-07,right,FW,171,Colombia,75,0,0,0,0,0
Alex Oxlade-Chamberlain,England,1993-08-15,right,MD,175,Jamaica,70,0,0,0,0,0
Wilfried Zaha,C\u00f4te d'Ivoire,1992-11-10,right,MD,180,England,66,0,0,0,0,0
Elias Kachunga,Germany,1992-04-22,right,FW,178,Congo DR,74,0,0,0,0,0
Ji\u0159\u00ed Skal\u00e1k,Czech Republic,1992-03-12,right,MD,177,Czech Republic,76,0,0,0,0,0
Collin Quaner,Germany,1991-06-18,right,FW,191,Ghana,79,0,0,0,0,0
Fredrik Ulvestad,Norway,1992-05-19,right,MD,183,Norway,83,0,0,0,0,0
Robbie Brady,Ireland Republic,1992-01-14,left,MD,175,Ireland Republic,71,0,0,0,0,0
Tom Ince,England,1992-01-30,left,MD,178,England,66,0,0,0,0,0
Jakob Haugaard,Denmark,1992-05-01,left,GK,199,Denmark,87,0,0,0,0,0
Anthony Knockaert,France,1991-11-20,left,MD,172,Belgium,69,0,0,0,0,0
Danny Ings,England,1992-07-23,right,FW,178,England,73,0,0,0,0,0
Steve Cook,England,1991-04-19,right,DF,185,England,82,0,0,0,0,0
Manuel Lanzini,Argentina,1993-02-15,right,MD,167,Italy,59,0,0,0,0,0
Muhamed Be\u0161i\u0107,Germany,1992-09-10,right,MD,177,Bosnia-Herzegovina,78,0,0,0,0,0
Michael Hefele,Germany,1990-09-01,right,DF,192,Germany,91,0,0,0,0,0
Nathan Redmond,England,1994-03-06,right,MD,173,Ireland Republic,75,0,0,0,0,0
Saido Berahino,Burundi,1993-08-04,right,FW,180,England,83,0,0,0,0,0
Connor Goldson,England,1992-12-18,right,DF,191,England,85,0,0,0,0,0
Jack Stephens,England,1994-01-27,right,DF,185,England,84,0,0,0,0,0
Serge Aurier,C\u00f4te d'Ivoire,1992-12-24,right,DF,176,France,76,0,0,0,0,0
Riyad Mahrez,France,1991-02-21,left,MD,179,Algeria,62,0,0,0,0,0
Benik Afobe,England,1993-02-12,right,FW,183,Congo DR,78,0,0,0,0,0
Davy Klaassen,Netherlands,1993-02-21,right,MD,179,Netherlands,70,0,0,0,0,0
J\u00fcrgen Locadia,Netherlands,1993-11-07,right,FW,185,Cura\u00e7ao,78,0,0,0,0,0
Konstantinos Stafylidis,Greece,1993-12-02,left,DF,178,Greece,77,0,0,0,0,0
Ryan Fraser,Scotland,1994-02-24,right,MD,163,Scotland,62,0,0,0,0,0
Massadio Ha\u00efdara,France,1992-12-02,left,DF,179,Senegal,76,0,0,0,0,0
Jes\u00e9 Rodr\u00edguez Ruiz,Spain,1993-02-26,right,FW,178,Spain,73,0,0,0,0,0
Terence Kongolo,Netherlands,1994-02-14,left,DF,188,Congo DR,70,0,0,0,0,0
Abdoulaye Doucour\u00e9,France,1993-01-01,right,MD,183,Mali,75,0,0,0,0,0
Jon Flanagan,England,1993-01-01,right,DF,181,Ireland Republic,69,0,0,0,0,0
Nahki Wells,Bermuda,1990-06-01,right,FW,174,Bermuda,75,0,0,0,0,0
James  Tarkowski,England,1992-11-19,right,DF,191,Poland,81,0,0,0,0,0
Tom Carroll,England,1992-05-28,left,MD,178,England,66,0,0,0,0,0
Tiemou\u00e9 Bakayoko,France,1994-08-17,right,MD,184,C\u00f4te d'Ivoire,72,0,0,0,0,0
Freddie Ladapo,England,1993-02-01,right,FW,187,Nigeria,79,0,0,0,0,0
Jeffrey  Schlupp,Germany,1992-12-23,left,DF,178,Ghana,72,0,0,0,0,0
Aymeric  Laporte,France,1994-05-27,left,DF,191,Spain,86,0,0,0,0,0
Nathan Ak\u00e9,Netherlands,1995-02-18,left,DF,180,C\u00f4te d'Ivoire,75,0,0,0,0,0
Brad Smith,Australia,1994-04-09,left,DF,177,England,70,0,0,0,0,0
Jay Fulton,England,1994-04-04,right,MD,178,Scotland,68,0,0,0,0,0
Virgil van Dijk,Netherlands,1991-07-08,right,DF,193,Netherlands,92,0,0,0,0,0
Mike van der Hoorn,Netherlands,1992-10-15,right,DF,190,Netherlands,81,0,0,0,0,0
Christian  Atsu Twasam,Ghana,1992-01-10,left,MD,172,Ghana,68,0,0,0,0,0
Jamal Lascelles,England,1993-11-11,right,DF,189,England,83,0,0,0,0,0
Guido Marcelo Carrillo,Argentina,1991-05-25,right,FW,191,Italy,87,0,0,0,0,0
Alberto Moreno P\u00e9rez,Spain,1992-07-05,left,DF,171,Spain,65,0,0,0,0,0
Chancel Mbemba Mangulu,Congo DR,1994-08-08,right,DF,182,Congo DR,82,0,0,0,0,0
Charly Junior Musonda,Belgium,1996-10-15,right,MD,173,Zambia,66,0,0,0,0,0
Paulo Dino Gazzaniga,Argentina,1992-01-02,right,GK,185,Argentina,78,0,0,0,0,0
Jordon  Ibe,England,1995-12-08,right,MD,176,Nigeria,81,0,0,0,0,0
James  Ward-Prowse,England,1994-11-01,right,MD,173,England,66,0,0,0,0,0
Charlie Taylor,England,1993-09-18,left,DF,185,England,72,0,0,0,0,0
Dwight Gayle,England,1990-10-17,right,FW,177,Jamaica,73,0,0,0,0,0
Arthur Masuaku,France,1993-11-07,left,DF,179,Congo DR,70,0,0,0,0,0
Loris Karius,Germany,1993-06-22,right,GK,190,Germany,87,0,0,0,0,0
Alex  Pritchard,England,1993-05-03,right,MD,171,England,62,0,0,0,0,0
Michael Keane,England,1993-01-11,right,DF,188,England,82,0,0,0,0,0
Luke Shaw,England,1995-07-12,left,DF,185,England,75,0,0,0,0,0
Sead Kola\u0161inac,Germany,1993-06-20,left,DF,183,Bosnia-Herzegovina,85,0,0,0,0,0
Isaac Hayden,England,1995-03-22,right,MD,187,Jamaica,79,0,0,0,0,0
Anthony Martial,France,1995-12-05,right,FW,184,Guadeloupe,76,0,0,0,0,0
Will Hughes,England,1995-04-17,left,MD,185,England,74,0,0,0,0,0
Tom Smith,England,1992-04-14,right,DF,186,England,84,0,0,0,0,0
Alexander S\u00f8rloth,Norway,1995-12-05,right,FW,194,Norway,90,0,0,0,0,0
Javier Manquillo Gait\u00e1n,Spain,1994-05-05,right,DF,180,Spain,72,0,0,0,0,0
El-Hadji Baye Oumar Niasse,Senegal,1990-04-18,right,FW,182,Senegal,82,0,0,0,0,0
Matt Macey,England,1994-09-09,right,GK,198,England,81,0,0,0,0,0
Calum Chambers,England,1995-01-20,right,DF,182,England,66,0,0,0,0,0
H\u00e9ctor Beller\u00edn Moruno,Spain,1995-03-19,right,DF,178,Spain,74,0,0,0,0,0
Steve Mouni\u00e9,Benin,1994-09-29,right,FW,190,France,83,0,0,0,0,0
Sofiane Boufal,France,1993-09-17,right,MD,170,Morocco,60,0,0,0,0,0
Daniel Amartey,Ghana,1994-12-21,right,MD,186,Ghana,79,0,0,0,0,0
Andrew Robertson,Scotland,1994-03-11,left,DF,178,Scotland,63,0,0,0,0,0
Sam Byram,England,1993-09-16,right,DF,180,England,72,0,0,0,0,0
Ayoze P\u00e9rez Guti\u00e9rrez,Spain,1993-07-29,right,FW,179,Spain,66,0,0,0,0,0
Jeremie Boga,France,1997-01-03,right,FW,174,C\u00f4te d'Ivoire,72,0,0,0,0,0
Jon Gorenc-Stankovi\u010d,Slovenia,1996-01-14,right,DF,190,Slovenia,78,0,0,0,0,0
Jerome Sinclair,England,1996-09-20,right,FW,181,Jamaica,75,0,0,0,0,0
Joel Pereira Castro,Switzerland,1996-06-28,right,GK,188,Portugal,81,0,0,0,0,0
Tyrone Mings,England,1993-03-19,left,DF,196,Barbados,77,0,0,0,0,0
Freddie Woodman,England,1997-03-04,right,GK,187,England,77,0,0,0,0,0
Ja\u00efro Riedewald,Netherlands,1996-09-09,left,DF,182,Suriname,79,0,0,0,0,0
Lys Mousset,France,1996-02-08,right,FW,184,Senegal,80,0,0,0,0,0
Alfie Mawson,England,1994-01-19,right,DF,188,England,81,0,0,0,0,0
Solly March,England,1994-07-20,left,MD,180,England,72,0,0,0,0,0
DeAndre Yedlin,United States,1993-07-09,right,DF,173,Latvia,68,0,0,0,0,0
Isaiah Brown,England,1997-01-07,right,FW,182,Jamaica,70,0,0,0,0,0
Robert Kenedy Nunes do Nascimento,Brazil,1996-02-08,left,MD,182,Brazil,77,0,0,0,0,0
Eric Bertrand  Bailly,C\u00f4te d'Ivoire,1994-04-12,right,DF,187,C\u00f4te d'Ivoire,77,0,0,0,0,0
Emerson Hyndman,United States,1996-04-09,right,MD,170,Portugal,61,0,0,0,0,0
Erdal Rakip,Sweden,1996-02-13,right,MD,179,Macedonia FYR,73,0,0,0,0,0
Georges-Kevin N'Koudou Mbida,France,1995-02-13,right,FW,175,Cameroon,73,0,0,0,0,0
Joel Coleman,England,1995-09-26,right,GK,190,England,82,0,0,0,0,0
Joe Lolley,England,1992-08-25,left,MD,178,England,72,0,0,0,0,0
Connor Mahoney,England,1997-02-12,left,MD,175,England,67,0,0,0,0,0
Fousseni Diabat\u00e9,France,1995-10-18,left,FW,175,Mali,60,0,0,0,0,0
Kasey Palmer,England,1996-11-09,right,MD,175,England,68,0,0,0,0,0
Ainsley Maitland-Niles,England,1997-08-29,right,MD,177,England,71,0,0,0,0,0
Jordan Hugill,England,1992-06-04,right,FW,183,England,75,0,0,0,0,0
Matt Targett,Scotland,1995-09-18,left,DF,183,England,70,0,0,0,0,0
Demarai Gray,England,1996-06-28,right,MD,180,England,74,0,0,0,0,0
Oluwatosin Adarabioyo,England,1997-09-24,right,DF,196,Nigeria,80,0,0,0,0,0
Nikola Vla\u0161i\u0107,Croatia,1997-10-04,right,MD,178,Croatia,80,0,0,0,0,0
Jonjoe Kenny,England,1997-03-15,right,DF,176,England,74,0,0,0,0,0
Dominic Solanke,England,1997-09-14,right,FW,185,Nigeria,80,0,0,0,0,0
Oliver McBurnie,Scotland,1996-06-04,right,FW,188,Scotland,74,0,0,0,0,0
Antonio Mart\u00ednez L\u00f3pez,Spain,1997-06-30,right,FW,187,Spain,70,0,0,0,0,0
Fikayo Tomori,Canada,1997-12-19,right,DF,185,England,75,0,0,0,0,0
Kyle Scott,England,1997-12-22,right,MD,172,United States,68,0,0,0,0,0
Dodi Lukebakio,Congo DR,1997-09-24,left,MD,187,Belgium,77,0,0,0,0,0
Dominic Calvert-Lewin,England,1997-03-16,right,FW,176,England,74,0,0,0,0,0
Jacob Murphy,England,1995-02-24,right,MD,173,England,67,0,0,0,0,0
Reece Burke,England,1996-09-02,right,DF,189,England,81,0,0,0,0,0
Sullay Kaikai,England,1995-08-26,right,MD,178,Sierra Leone,70,0,0,0,0,0
Sam McQueen,England,1995-02-06,left,MD,181,England,70,0,0,0,0,0
Lewis Cook,England,1997-02-03,right,MD,175,England,71,0,0,0,0,0
Joshua Sims,England,1997-03-28,left,MD,168,England,67,0,0,0,0,0
Philip Billing,Denmark,1996-06-11,left,MD,197,Nigeria,83,0,0,0,0,0
Jaros\u0142aw Jach,Poland,1994-02-17,left,DF,190,Poland,81,0,0,0,0,0
Mikel Merino Zaz\u00f3n,Spain,1996-06-22,left,MD,187,Spain,79,0,0,0,0,0
Tammy Abraham,England,1997-10-02,right,FW,190,Nigeria,82,0,0,0,0,0
Oliver Burke,Scotland,1997-04-07,right,MD,188,Scotland,74,0,0,0,0,0
Eddie Nketiah,England,1999-05-30,right,FW,178,Ghana,70,0,0,0,0,0
Joe Willock,England,1999-08-20,right,MD,179,Montserrat,0,0,0,0,0,0
Dujon Sterling,England,1999-10-24,right,DF,180,Jamaica,78,0,0,0,0,0
Trevoh Chalobah,Sierra Leone,1999-07-05,right,DF,190,England,77,0,0,0,0,0
Tom Davies,England,1998-06-30,right,MD,180,England,78,0,0,0,0,0
Lukas Nmecha,England,1998-12-14,right,FW,183,England,80,0,0,0,0,0
Layton Ndukwu,England,1998-09-07,left,FW,0,Nigeria,0,0,0,0,0,0
Dion Henry,England,1997-09-12,right,GK,191,England,76,0,0,0,0,0
Mason Holgate,England,1996-10-22,right,DF,184,Jamaica,63,0,0,0,0,0
Sead Hak\u0161abanovi\u0107,Sweden,1999-05-04,right,MD,174,Montenegro,69,0,0,0,0,0
Cameron Carter-Vickers,England,1997-12-31,right,DF,183,United States,92,0,0,0,0,0
Matt Butcher,England,1997-05-14,left,MD,188,England,83,0,0,0,0,0
Josh Cullen,England,1996-04-07,right,MD,175,Ireland Republic,70,0,0,0,0,0
Harry Souttar,Scotland,1998-10-22,right,DF,198,Scotland,80,0,0,0,0,0
Kazaiah Sterling,England,1998-11-09,right,FW,175,Jamaica,71,0,0,0,0,0
Rob Holding,England,1995-09-20,right,DF,189,England,75,0,0,0,0,0
Alex Palmer,England,1996-08-10,right,GK,191,England,72,0,0,0,0,0
Marcus Browne,England,1997-12-18,right,MD,179,England,74,0,0,0,0,0
Grady Diangana,England,1998-04-19,left,MD,181,Congo DR,73,0,0,0,0,0
Moses Makasi,England,1995-09-22,,MD,0,England,0,0,0,0,0,0
Declan Rice,England,1999-01-14,right,DF,185,Ireland Republic,80,0,0,0,0,0
Jordi Osei-Tutu,England,1998-10-02,right,DF,0,Ghana,0,0,0,0,0,0
